Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
CHAINE 2,1_0_2_F_1_0_CB70000_0_0_0.png,chaine2.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
CHERIFLA TV,1_0_1_1_1000_2000_CB70000_0_0_0.png,cheriflatv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
JOLIBA FM,1_0_1_14_1_0_CB70000_0_0_0.png,jolibafm.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
NIETA TV,1_0_16_4_1_0_CB70000_0_0_0.png,nietatv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
ORTM 1,1_0_16_1_1_0_CB70000_0_0_0.png,ortm1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
RADIO_BKU,1_0_2_E_1_0_CB70000_0_0_0.png,radiobku.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
SEGOU TV,1_0_16_8_1_0_CB70000_0_0_0.png,segoutv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-11,1_0_16_7_1_0_CB70000_0_0_0.png,service1111.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-12 (SD),1_0_16_A_1_0_CB70000_0_0_0.png,service1112sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-13 (SD),1_0_16_B_1_0_CB70000_0_0_0.png,service1113sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-15 (SD),1_0_16_D_1_0_CB70000_0_0_0.png,service1115sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-17,1_0_16_9_1_0_CB70000_0_0_0.png,service1117.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-19 (SD),1_0_16_C_1_0_CB70000_0_0_0.png,service1119sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service Radio 1,1_0_2_10_1_0_CB70000_0_0_0.png,serviceradio1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 2,1_0_2_11_1_0_CB70000_0_0_0.png,serviceradio2.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 3,1_0_2_12_1_0_CB70000_0_0_0.png,serviceradio3.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 4,1_0_2_13_1_0_CB70000_0_0_0.png,serviceradio4.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
TM1,1_0_16_5_1_0_CB70000_0_0_0.png,tm1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
,1_0_0_4_26_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_4_27_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_4_2F_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
