Frequency,Polarization,SymbolRate,FEC,System,SID,ServiceName,Type,Encryption
10721,H,30000,3/4,DVB-S2,1501,Arena Premium 3,1,Encrypted
10721,H,30000,3/4,DVB-S2,1502,Arena Tenis,1,Encrypted
10721,H,30000,3/4,DVB-S2,1503,Arena Sport 3,1,Encrypted
10721,H,30000,3/4,DVB-S2,1504,Arena Sport 6,1,Encrypted
10721,H,30000,3/4,DVB-S2,1505,Arena Sport 9,1,Encrypted
10721,H,30000,3/4,DVB-S2,1506,Premier League TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1507,Blic TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1508,RTS Svet,1,Encrypted
10721,H,30000,3/4,DVB-S2,1509,Arena Fight,1,Encrypted
10721,H,30000,3/4,DVB-S2,1510,EuroNews Serbia,1,Encrypted
10721,H,30000,3/4,DVB-S2,1511,Superstar 3,1,Encrypted
10721,H,30000,3/4,DVB-S2,1512,Informer TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1513,Kazbuka,1,Encrypted
10721,H,30000,3/4,DVB-S2,1514,Dox TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1515,HRT 3,1,Encrypted
10721,H,30000,3/4,DVB-S2,1516,RTRS Plus,1,Encrypted
10721,H,30000,3/4,DVB-S2,1517,Hype 2 TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1518,Toxic TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1519,Nis TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1520,TV Hram,1,Encrypted
10721,H,30000,3/4,DVB-S2,1521,Pannon TV,1,Encrypted
10721,H,30000,3/4,DVB-S2,1522,Pink Action,1,Encrypted
10721,H,30000,3/4,DVB-S2,1523,RTS Nauka,1,Encrypted
10721,H,30000,3/4,DVB-S2,1524,M:Sat TV Info,1,Encrypted
10721,H,30000,3/4,DVB-S2,1525,Fox News Channel,1,Encrypted
10721,H,30000,3/4,DVB-S2,1526,RTS Zivot,1,Encrypted
10721,H,30000,3/4,DVB-S2,1527,TV Lav Plus,1,Encrypted
10762,H,30000,3/5,DVB-S2,730,City News Albania,1,Encrypted
10762,H,30000,3/5,DVB-S2,790,Fax News,1,Encrypted
10762,H,30000,3/5,DVB-S2,910,ATV,1,Encrypted
10762,H,30000,3/5,DVB-S2,1000,RTK 1 Sat,1,FTA
10762,H,30000,3/5,DVB-S2,1040,Bang Bang,1,Encrypted
10762,H,30000,3/5,DVB-S2,1060,Explorer Shkencë,1,Encrypted
10762,H,30000,3/5,DVB-S2,1080,Syri TV,1,Encrypted
10762,H,30000,3/5,DVB-S2,1120,Klan Music,1,Encrypted
10762,H,30000,3/5,DVB-S2,1160,Stinët,1,Encrypted
10762,H,30000,3/5,DVB-S2,1240,News 24,1,Encrypted
10762,H,30000,3/5,DVB-S2,1260,X1,1,Encrypted
10762,H,30000,3/5,DVB-S2,1360,TV 21 Macedonia,1,Encrypted
10762,H,30000,3/5,DVB-S2,1400,T,1,Encrypted
10762,H,30000,3/5,DVB-S2,1420,SuperSport 7,1,Encrypted
10762,H,30000,3/5,DVB-S2,1440,Ora News,1,Encrypted
10762,H,30000,3/5,DVB-S2,1480,Film Hits,1,Encrypted
10762,H,30000,3/5,DVB-S2,1500,Film Aksion,1,Encrypted
10762,H,30000,3/5,DVB-S2,1520,Top News,1,FTA
10762,H,30000,3/5,DVB-S2,1540,Top Channel,1,Encrypted
10762,H,30000,3/5,DVB-S2,1600,Melody TV,1,Encrypted
10762,H,30000,3/5,DVB-S2,4930,Film Komedi,1,Encrypted
10762,H,30000,3/5,DVB-S2,5020,Dorcel TV,1,Encrypted
10762,H,30000,3/5,DVB-S2,5170,Big Brother VIP Albania 1,1,Encrypted
10762,H,30000,3/5,DVB-S2,1800,Top Albania Radio,2,FTA
10762,H,30000,3/5,DVB-S2,1820,Top Gold Radio,2,FTA
10762,H,30000,3/5,DVB-S2,1830,My Music Radio,2,FTA
10804,H,29950,2/3,DVB-S2,2000,EuroNews Albania,1,FTA
10804,H,29950,2/3,DVB-S2,2010,TV Klan,1,Encrypted
10804,H,29950,2/3,DVB-S2,2020,SuperSport 5,1,Encrypted
10804,H,29950,2/3,DVB-S2,2030,SuperSport 6,1,Encrypted
10804,H,29950,2/3,DVB-S2,2100,Junior TV,1,Encrypted
10804,H,29950,2/3,DVB-S2,2110,Çufo,1,Encrypted
10804,H,29950,2/3,DVB-S2,2120,My Music,1,Encrypted
10804,H,29950,2/3,DVB-S2,2130,Explorer Natyra,1,Encrypted
10804,H,29950,2/3,DVB-S2,2140,Explorer Histori,1,Encrypted
10804,H,29950,2/3,DVB-S2,2160,Eurofilm,1,Encrypted
10804,H,29950,2/3,DVB-S2,2180,RTSH Sport,1,Encrypted
10804,H,29950,2/3,DVB-S2,2190,Film Thriller,1,Encrypted
10804,H,29950,2/3,DVB-S2,2200,Film Dramë,1,Encrypted
10804,H,29950,2/3,DVB-S2,2210,RTSH 1,1,Encrypted
10804,H,29950,2/3,DVB-S2,2220,Klan News,1,Encrypted
10804,H,29950,2/3,DVB-S2,2230,Klan Plus,1,Encrypted
10804,H,29950,2/3,DVB-S2,2250,Zjarr TV,1,Encrypted
10804,H,29950,2/3,DVB-S2,3300,A2 CNN,1,Encrypted
10804,H,29950,2/3,DVB-S2,4630,Top Albania Radio TV,2,Encrypted
10804,H,29950,2/3,DVB-S2,4900,Film Autor,1,Encrypted
10804,H,29950,2/3,DVB-S2,5050,Tring Sport 1,1,Encrypted
10804,H,29950,2/3,DVB-S2,5200,Big Brother VIP Albania 2,1,Encrypted
10804,H,29950,2/3,DVB-S2,5230,Tring Sport 2,1,Encrypted
10804,H,29950,2/3,DVB-S2,5260,Tring Sport 3,1,Encrypted
10804,H,30000,2/3,DVB-S2,102,Qausain TV,1,FTA
10804,H,30000,2/3,DVB-S2,104,CRTV,1,FTA
10804,H,30000,2/3,DVB-S2,107,Sen TV,1,FTA
10804,H,30000,2/3,DVB-S2,108,CRTV News,1,FTA
10804,H,30000,2/3,DVB-S2,111,URHC TV,1,FTA
10804,H,30000,2/3,DVB-S2,115,RTB TV,1,FTA
10804,H,30000,2/3,DVB-S2,118,CRTV Sports and Entertainment,1,FTA
10804,H,30000,2/3,DVB-S2,121,LM TV Français,1,FTA
10804,H,30000,2/3,DVB-S2,131,Arewa 24,1,FTA
10804,H,30000,2/3,DVB-S2,201,Bénin TV,1,FTA
10804,H,30000,2/3,DVB-S2,202,BB 24,1,FTA
10804,H,30000,2/3,DVB-S2,205,France 24 Français,1,FTA
10804,H,30000,2/3,DVB-S2,345,Canal 2 International,1,FTA
10804,H,30000,2/3,DVB-S2,361,Impact TV,1,FTA
10804,H,30000,2/3,DVB-S2,601,Africa TV 3,1,FTA
10804,H,30000,2/3,DVB-S2,629,Malikia TV,1,FTA
10804,H,30000,2/3,DVB-S2,640,Voxafrica Afrique,1,FTA
10804,H,30000,2/3,DVB-S2,641,Africa TV 3 Qur'an,1,FTA
10804,H,30000,2/3,DVB-S2,642,Alwilayah TV Hausa,1,FTA
10804,H,30000,2/3,DVB-S2,643,Paradise TV,1,FTA
10804,H,30000,2/3,DVB-S2,105,CRTV National Radio,2,FTA
10804,H,30000,2/3,DVB-S2,109,Zik FM,2,FTA
10804,H,30000,2/3,DVB-S2,116,RTB Radio,2,FTA
10804,H,30000,2/3,DVB-S2,480,Radio Immaculée Conception,2,FTA
10845,H,30000,3/5,DVB-S2,100,RTV 21 Sat,1,Encrypted
10845,H,30000,3/5,DVB-S2,400,Kohavision,1,Encrypted
10845,H,30000,3/5,DVB-S2,670,In TV,1,Encrypted
10845,H,30000,3/5,DVB-S2,940,Pro 1,1,Encrypted
10845,H,30000,3/5,DVB-S2,1001,Gold,1,Encrypted
10845,H,30000,3/5,DVB-S2,1002,Max,1,Encrypted
10845,H,30000,3/5,DVB-S2,1003,DigitAlb 20 Vjet,1,Encrypted
10845,H,30000,3/5,DVB-S2,1004,SuperSport 1,1,Encrypted
10845,H,30000,3/5,DVB-S2,1005,SuperSport 2,1,Encrypted
10845,H,30000,3/5,DVB-S2,1006,SuperSport 3,1,Encrypted
10845,H,30000,3/5,DVB-S2,1007,SuperSport 4,1,Encrypted
10845,H,30000,3/5,DVB-S2,1021,RTSH 2,1,Encrypted
10845,H,30000,3/5,DVB-S2,1023,Scan,1,Encrypted
10845,H,30000,3/5,DVB-S2,1510,Arta,1,Encrypted
10845,H,30000,3/5,DVB-S2,1540,MCN TV,1,Encrypted
10845,H,30000,3/5,DVB-S2,1720,Premium Channel,1,Encrypted
10845,H,30000,3/5,DVB-S2,3700,Travel Channel Europe,1,Encrypted
10845,H,30000,3/5,DVB-S2,4160,Star Plus,1,Encrypted
10845,H,30000,3/5,DVB-S2,4360,TV Dukagjini,1,Encrypted
10845,H,30000,3/5,DVB-S2,4460,Star Movies Srbija,1,Encrypted
10845,H,30000,3/5,DVB-S2,4960,Tring Sport News,1,Encrypted
10845,H,30000,3/5,DVB-S2,5350,Tring Sport 6,1,Encrypted
10845,H,30000,3/5,DVB-S2,5380,Tring Sport 7,1,Encrypted
10887,H,30000,3/5,DVB-S2,820,T7,1,Encrypted
10887,H,30000,3/5,DVB-S2,1007,Dorcel XXX,1,Encrypted
10887,H,30000,3/5,DVB-S2,1021,24 Kitchen Srbija,1,Encrypted
10887,H,30000,3/5,DVB-S2,1022,Star Channel Srbija,1,Encrypted
10887,H,30000,3/5,DVB-S2,1026,Star Life Regional,1,Encrypted
10887,H,30000,3/5,DVB-S2,1027,Nickelodeon HD,1,Encrypted
10887,H,30000,3/5,DVB-S2,1031,Report TV,1,Encrypted
10887,H,30000,3/5,DVB-S2,1300,Zico TV,1,Encrypted
