Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
CHERIFLA TV,1_0_1_1_1000_2000_CB70000_0_0_0.png,cheriflatv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
JOLIBA FM,1_0_1_14_1_0_CB70000_0_0_0.png,jolibafm.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
NIETA TV,1_0_16_4_1_0_CB70000_0_0_0.png,nietatv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
ORTM 1,1_0_16_1_1_0_CB70000_0_0_0.png,ortm1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
SEGOU TV,1_0_16_8_1_0_CB70000_0_0_0.png,segoutv.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-11,1_0_16_7_1_0_CB70000_0_0_0.png,service1111.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-12 (SD),1_0_16_A_1_0_CB70000_0_0_0.png,service1112sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-13 (SD),1_0_16_B_1_0_CB70000_0_0_0.png,service1113sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-15 (SD),1_0_16_D_1_0_CB70000_0_0_0.png,service1115sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-17,1_0_16_9_1_0_CB70000_0_0_0.png,service1117.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
Service 11-19 (SD),1_0_16_C_1_0_CB70000_0_0_0.png,service1119sd.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
TM1,1_0_16_5_1_0_CB70000_0_0_0.png,tm1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Found
,1_0_0_4_26_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_4_27_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_4_2F_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_5_26_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_5_27_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
,1_0_0_5_2F_36_CE40000_0_0_0.png,.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
10939H SID 0x191,1_0_1_191_2_0_CE40000_0_0_0.png,10939hsid0x191.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
11,1_0_1_179B_2F_36_CE40000_0_0_0.png,11.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
11502V SID 0x709,1_0_1_709_EA7C_0_CE40000_0_0_0.png,11502vsid0x709.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
11502V SID 0xfffe,1_0_1_FFFE_EA7C_0_CE40000_0_0_0.png,11502vsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12360H SID 0x14f,1_0_1_14F_26_36_CE40000_0_0_0.png,12360hsid0x14f.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12360H SID 0x370,1_0_1_370_26_36_CE40000_0_0_0.png,12360hsid0x370.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12360H SID 0x371,1_0_1_371_26_36_CE40000_0_0_0.png,12360hsid0x371.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12399H SID 0x13af,1_0_1_13AF_27_36_CE40000_0_0_0.png,12399hsid0x13af.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12399H SID 0x1d0,1_0_1_1D0_27_36_CE40000_0_0_0.png,12399hsid0x1d0.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12437H SID 0x33a,1_0_1_33A_2F_36_CE40000_0_0_0.png,12437hsid0x33a.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
12437H SID 0x33b,1_0_1_33B_2F_36_CE40000_0_0_0.png,12437hsid0x33b.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
24 Kitchen HD,1_0_1_192_27_36_CE40000_0_0_0.png,24kitchenhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
24 Kitchen HD,1_0_1_13AD_27_36_CE40000_0_0_0.png,24kitchenhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Break,1_0_1_1263_2F_36_CE40000_0_0_0.png,amcbreak.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Break,1_0_1_138C_30_36_CE40000_0_0_0.png,amcbreak.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Break,1_0_1_9DE_2F_36_CE40000_0_0_0.png,amcbreak.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Break,1_0_1_EB_30_36_CE40000_0_0_0.png,amcbreak.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Crime,1_0_1_1795_26_36_CE40000_0_0_0.png,amccrime.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC Crime,1_0_1_EE8_26_36_CE40000_0_0_0.png,amccrime.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC HD,1_0_1_512_2F_36_CE40000_0_0_0.png,amchd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AMC HD,1_0_1_179F_2F_36_CE40000_0_0_0.png,amchd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
ANTENA 1,1_0_2_1_1_1_CE40000_0_0_0.png,antena1.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
ANTENA 2,1_0_2_2_1_1_CE40000_0_0_0.png,antena2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
ARAGON TV SD,1_0_1_27B0_3E9_22D4_CE40000_0_0_0.png,aragontvsd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN HD,1_0_1_1260_2F_36_CE40000_0_0_0.png,axnhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN HD,1_0_1_17C7_2F_36_CE40000_0_0_0.png,axnhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN Movies HD,1_0_1_191_27_36_CE40000_0_0_0.png,axnmovieshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN Movies HD,1_0_1_13A6_27_36_CE40000_0_0_0.png,axnmovieshd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN White HD,1_0_1_196_27_36_CE40000_0_0_0.png,axnwhitehd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
AXN White HD,1_0_1_13A9_27_36_CE40000_0_0_0.png,axnwhitehd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Abertis PID 2025,1_0_1_BD1_EA74_1_CE40000_0_0_0.png,abertispid2025.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Abertis PID 802,1_0_1_70A_EA7E_1_CE40000_0_0_0.png,abertispid802.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Afro Music,1_0_1_17A8_2F_36_CE40000_0_0_0.png,afromusic.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Agencia EFE,1_0_1_CC_0_FF00_CE40000_0_0_0.png,agenciaefe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
BTV 1 HD,1_0_1_EDE_26_36_CE40000_0_0_0.png,btv1hd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
BTV HD,1_0_1_17C3_26_36_CE40000_0_0_0.png,btvhd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Baby TV,1_0_1_1264_2F_36_CE40000_0_0_0.png,babytv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Baby TV,1_0_1_17BD_30_36_CE40000_0_0_0.png,babytv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Baby TV,1_0_1_9DF_2F_36_CE40000_0_0_0.png,babytv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Baby TV,1_0_1_12F0_30_36_CE40000_0_0_0.png,babytv.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Biggs,1_0_1_1265_2F_36_CE40000_0_0_0.png,biggs.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Biggs,1_0_1_1391_30_36_CE40000_0_0_0.png,biggs.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Biggs,1_0_1_9E0_2F_36_CE40000_0_0_0.png,biggs.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Biggs,1_0_1_F0_30_36_CE40000_0_0_0.png,biggs.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Bloomberg,1_0_1_14B_26_36_CE40000_0_0_0.png,bloomberg.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
Bloomberg,1_0_1_1791_26_36_CE40000_0_0_0.png,bloomberg.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
CNBC,1_0_1_14C_26_36_CE40000_0_0_0.png,cnbc.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
CNBC Europe,1_0_1_1792_26_36_CE40000_0_0_0.png,cnbceurope.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
CNN,1_0_1_1393_30_36_CE40000_0_0_0.png,cnn.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
CNN,1_0_1_F2_30_36_CE40000_0_0_0.png,cnn.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
COPE,1_0_2_25_65_0_CE40000_0_0_0.png,cope.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
CUBAVISION INTERNACIONAL,1_0_1_834_6_6_CE40000_0_0_0.png,cubavisioninternacional.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Found
