Channel Name,SRP Filename,SNP Filename,Position,Satellite,Status
CHAINE 2,1_0_2_F_1_0_CB70000_0_0_0.png,chaine2.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
RADIO_BKU,1_0_2_E_1_0_CB70000_0_0_0.png,radiobku.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 1,1_0_2_10_1_0_CB70000_0_0_0.png,serviceradio1.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 2,1_0_2_11_1_0_CB70000_0_0_0.png,serviceradio2.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 3,1_0_2_12_1_0_CB70000_0_0_0.png,serviceradio3.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
Service Radio 4,1_0_2_13_1_0_CB70000_0_0_0.png,serviceradio4.png,34.5W,(54) 34.5W KU-band Intelsat 35e,Missing
10939H SID 0x01,1_0_1_1_2_0_CE40000_0_0_0.png,10939hsid0x01.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbd2,1_0_64_BD2_EA74_1_CE40000_0_0_0.png,11222hsid0xbd2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbd3,1_0_64_BD3_EA74_1_CE40000_0_0_0.png,11222hsid0xbd3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbd4,1_0_C_BD4_EA74_1_CE40000_0_0_0.png,11222hsid0xbd4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbdb,1_0_C_BDB_EA74_1_CE40000_0_0_0.png,11222hsid0xbdb.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbdc,1_0_C_BDC_EA74_1_CE40000_0_0_0.png,11222hsid0xbdc.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbdd,1_0_C_BDD_EA74_1_CE40000_0_0_0.png,11222hsid0xbdd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbde,1_0_C_BDE_EA74_1_CE40000_0_0_0.png,11222hsid0xbde.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbea,1_0_64_BEA_EA74_1_CE40000_0_0_0.png,11222hsid0xbea.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xbf4,1_0_C_BF4_EA74_1_CE40000_0_0_0.png,11222hsid0xbf4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11222H SID 0xfffe,1_0_64_FFFE_EA74_1_CE40000_0_0_0.png,11222hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcc6,1_0_64_CC6_EA76_1_CE40000_0_0_0.png,11302hsid0xcc6.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcc7,1_0_C_CC7_EA76_1_CE40000_0_0_0.png,11302hsid0xcc7.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcc8,1_0_64_CC8_EA76_1_CE40000_0_0_0.png,11302hsid0xcc8.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcc9,1_0_64_CC9_EA76_1_CE40000_0_0_0.png,11302hsid0xcc9.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcca,1_0_64_CCA_EA76_1_CE40000_0_0_0.png,11302hsid0xcca.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcd1,1_0_64_CD1_EA76_1_CE40000_0_0_0.png,11302hsid0xcd1.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcd2,1_0_C_CD2_EA76_1_CE40000_0_0_0.png,11302hsid0xcd2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcd3,1_0_64_CD3_EA76_1_CE40000_0_0_0.png,11302hsid0xcd3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xcd4,1_0_C_CD4_EA76_1_CE40000_0_0_0.png,11302hsid0xcd4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11302H SID 0xfffe,1_0_C_FFFE_EA76_1_CE40000_0_0_0.png,11302hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xce5,1_0_C_CE5_EA77_0_CE40000_0_0_0.png,11347hsid0xce5.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xce6,1_0_C_CE6_EA77_0_CE40000_0_0_0.png,11347hsid0xce6.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xce7,1_0_C_CE7_EA77_0_CE40000_0_0_0.png,11347hsid0xce7.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xce8,1_0_C_CE8_EA77_0_CE40000_0_0_0.png,11347hsid0xce8.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xce9,1_0_C_CE9_EA77_0_CE40000_0_0_0.png,11347hsid0xce9.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xcea,1_0_C_CEA_EA77_0_CE40000_0_0_0.png,11347hsid0xcea.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xceb,1_0_64_CEB_EA77_0_CE40000_0_0_0.png,11347hsid0xceb.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xcec,1_0_C_CEC_EA77_0_CE40000_0_0_0.png,11347hsid0xcec.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11347H SID 0xfffe,1_0_C_FFFE_EA77_0_CE40000_0_0_0.png,11347hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdc0,1_0_C_DC0_EA79_1_CE40000_0_0_0.png,11382hsid0xdc0.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdc1,1_0_64_DC1_EA79_1_CE40000_0_0_0.png,11382hsid0xdc1.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdc2,1_0_64_DC2_EA79_1_CE40000_0_0_0.png,11382hsid0xdc2.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdc3,1_0_C_DC3_EA79_1_CE40000_0_0_0.png,11382hsid0xdc3.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdc4,1_0_64_DC4_EA79_1_CE40000_0_0_0.png,11382hsid0xdc4.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdcb,1_0_64_DCB_EA79_1_CE40000_0_0_0.png,11382hsid0xdcb.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdcc,1_0_C_DCC_EA79_1_CE40000_0_0_0.png,11382hsid0xdcc.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdcd,1_0_C_DCD_EA79_1_CE40000_0_0_0.png,11382hsid0xdcd.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xdce,1_0_C_DCE_EA79_1_CE40000_0_0_0.png,11382hsid0xdce.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11382H SID 0xfffe,1_0_C_FFFE_EA79_1_CE40000_0_0_0.png,11382hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11653H SID 0x515,1_0_C_515_EA63_0_CE40000_0_0_0.png,11653hsid0x515.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11653H SID 0x517,1_0_C_517_EA63_0_CE40000_0_0_0.png,11653hsid0x517.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11653H SID 0xfffe,1_0_C_FFFE_EA63_0_CE40000_0_0_0.png,11653hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11674H SID 0x58c,1_0_C_58C_EA64_0_CE40000_0_0_0.png,11674hsid0x58c.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11674H SID 0x58d,1_0_C_58D_EA64_0_CE40000_0_0_0.png,11674hsid0x58d.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11674H SID 0x597,1_0_C_597_EA64_0_CE40000_0_0_0.png,11674hsid0x597.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11674H SID 0x5a0,1_0_C_5A0_EA64_0_CE40000_0_0_0.png,11674hsid0x5a0.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11674H SID 0xfffe,1_0_C_FFFE_EA64_0_CE40000_0_0_0.png,11674hsid0xfffe.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
11675H SID 0x58f,1_0_64_58F_EA64_0_CE40000_0_0_0.png,11675hsid0x58f.png,30.0W,(55) 30.0W KU-band SpainSat / Hispasat 30W-5/30W-6,Missing
